ingredients,id,missedIngredientCount,type,aisle,usedIngridientCount,title,name,unit,amount
apple,673463,2,missed__ingredient,Canned and Jarred,2,Slow Cooker Apple Pork Tenderloin,beef broth,cups,2.0
apple,673463,2,missed__ingredient,Meat,2,Slow Cooker Apple Pork Tenderloin,pork tenderloin,serving,1.0
apple,673463,2,used__ingredient,Produce,2,Slow Cooker Apple Pork Tenderloin,apple,serving,1.0
apple,673463,2,used__ingredient,Produce,2,Slow Cooker Apple Pork Tenderloin,green apples,,2.0
apple,660261,2,missed__ingredient,Spices and Seasonings,1,Slow Cooked Applesauce,cinnamon,teaspoon,0.5
apple,660261,2,missed__ingredient,Spices and Seasonings,1,Slow Cooked Applesauce,nutmeg,pinch,1.0
apple,660261,2,used__ingredient,Produce,1,Slow Cooked Applesauce,apples,,5.0
apple,633547,2,missed__ingredient,Spices and Seasonings,1,Baked Cinnamon Apple Slices,cinnamon,tablespoons,1.5
apple,633547,2,missed__ingredient,Dried Fruits;Produce;Baking,1,Baked Cinnamon Apple Slices,raisins,cup,0.5
apple,633547,2,used__ingredient,Produce,1,Baked Cinnamon Apple Slices,apples,,4.0
apple,716433,3,missed__ingredient,Dried Fruits;Produce;Baking,1,Easiest Breakfast Ever: Sunny Fruit Parfait,raisins,serving,1.0
apple,716433,3,missed__ingredient,Savory Snacks,1,Easiest Breakfast Ever: Sunny Fruit Parfait,sunflower seeds,serving,1.0
apple,716433,3,missed__ingredient,"Milk, Eggs, Other Dairy",1,Easiest Breakfast Ever: Sunny Fruit Parfait,yogurt,serving,1.0
apple,716433,3,used__ingredient,Produce,1,Easiest Breakfast Ever: Sunny Fruit Parfait,apple,serving,1.0
apple,633548,3,missed__ingredient,Cereal,1,Baked Cinnamon Apple Wedges,maple syrup,tsp,1.0
apple,633548,3,missed__ingredient,Spices and Seasonings,1,Baked Cinnamon Apple Wedges,cinnamon,tsp,0.5
apple,633548,3,missed__ingredient,Spices and Seasonings,1,Baked Cinnamon Apple Wedges,nutmeg,tsp,0.25
