Index,Topic,Value
1.1.1,ingredients,apple
1.1.2,id,673463
1.1.3,missedIngredientCount,2
1.1.4,type,missed__ingredient
1.1.5,aisle,Canned and Jarred
1.1.6,usedIngridientCount,2
1.1.7,title,Slow Cooker Apple Pork Tenderloin
1.1.8,name,beef broth
1.1.9,unit,cups
1.1.10,amount,2.0
1.2.1,ingredients,apple
1.2.2,id,673463
1.2.3,missedIngredientCount,2
1.2.4,type,missed__ingredient
1.2.5,aisle,Meat
1.2.6,usedIngridientCount,2
1.2.7,title,Slow Cooker Apple Pork Tenderloin
1.2.8,name,pork tenderloin
1.2.9,unit,serving
1.2.10,amount,1.0
1.3.1,ingredients,apple
1.3.2,id,673463
1.3.3,missedIngredientCount,2
1.3.4,type,used__ingredient
1.3.5,aisle,Produce
1.3.6,usedIngridientCount,2
1.3.7,title,Slow Cooker Apple Pork Tenderloin
1.3.8,name,apple
1.3.9,unit,serving
1.3.10,amount,1.0
1.4.1,ingredients,apple
1.4.2,id,673463
1.4.3,missedIngredientCount,2
1.4.4,type,used__ingredient
1.4.5,aisle,Produce
1.4.6,usedIngridientCount,2
1.4.7,title,Slow Cooker Apple Pork Tenderloin
1.4.8,name,green apples
1.4.9,unit,
1.4.10,amount,2
1.5.1,ingredients,apple
1.5.2,id,660261
1.5.3,missedIngredientCount,2
1.5.4,type,missed__ingredient
1.5.5,aisle,Spices and Seasonings
1.5.6,usedIngridientCount,1
1.5.7,title,Slow Cooked Applesauce
1.5.8,name,cinnamon
1.5.9,unit,teaspoon
1.5.10,amount,0.5
1.6.1,ingredients,apple
1.6.2,id,660261
1.6.3,missedIngredientCount,2
1.6.4,type,missed__ingredient
1.6.5,aisle,Spices and Seasonings
1.6.6,usedIngridientCount,1
1.6.7,title,Slow Cooked Applesauce
1.6.8,name,nutmeg
1.6.9,unit,pinch
1.6.10,amount,1.0
1.7.1,ingredients,apple
1.7.2,id,660261
1.7.3,missedIngredientCount,2
1.7.4,type,used__ingredient
1.7.5,aisle,Produce
1.7.6,usedIngridientCount,1
1.7.7,title,Slow Cooked Applesauce
1.7.8,name,apples
1.7.9,unit,
1.7.10,amount,5.0
1.8.1,ingredients,apple
1.8.2,id,633547
1.8.3,missedIngredientCount,2
1.8.4,type,missed__ingredient
1.8.5,aisle,Spices and Seasonings
1.8.6,usedIngridientCount,1
1.8.7,title,Baked Cinnamon Apple Slices
1.8.8,name,cinnamon
1.8.9,unit,tablespoons
1.8.10,amount,1.5
1.9.1,ingredients,apple
1.9.2,id,633547
1.9.3,missedIngredientCount,2
1.9.4,type,missed__ingredient
1.9.5,aisle,Dried Fruits;Produce;Baking
1.9.6,usedIngridientCount,1
1.9.7,title,Baked Cinnamon Apple Slices
1.9.8,name,raisins
1.9.9,unit,cup
1.9.10,amount,0.5
1.10.1,ingredients,apple
1.10.2,id,633547
